"name","alias","city","state","url","control","deg_predomnt","deg_highest","locale_type","is_hbcu","is_pbi","is_annhi","is_tribal","is_aanapii","is_hsi","is_nanti","is_only_men","is_only_women","religious_affil","adm_rate","sat_avg","sat_mid50","act_p25","act_p75","act_mid50","sat_p25","sat_p75","ug_enrollment","net_price","cost_avg_income_0_30k","cost_avg_income_30_48k","cost_avg_income_48_75k","cost_avg_income_75_110k","cost_avg_income_110k_plus","earnings_med_10y","rate_completion","rm_board_dif","ratio","student_fac_ratio","no_aid","ROOMBOARD_ON","ROOMBOARD_OFF","MD_EARN_WNE_INC2_P6","TUITIONFEE_IN","TUITIONFEE_OUT"
"Alabama A & M University","AAMU","Normal","AL","www.aamu.edu/",1,3,4,12,1,0,0,0,0,0,0,0,0,NA,0.6622,947,940,14,19,18,810,1060,5726,31650223,NA,NA,NA,NA,NA,40628,0.1488,0,0.764781299382808,19,1,11402,11402,31228,10024,18634
"University of Alabama at Birmingham","UAB","Birmingham","AL","https://www.uab.edu/",1,3,4,12,0,0,0,0,0,0,0,0,0,NA,0.8842,1251,1280,22,30,27,1130,1400,12118,31650223,NA,NA,NA,NA,NA,54501,0.4327,-990,0.814335470592892,18,1,13590,14580,49623,8832,21864
"Amridge University","Southern Christian University  Regions University","Montgomery","AL","https://www.amridgeuniversity.edu/",2,3,4,12,0,0,0,0,0,0,0,0,0,74,NA,NA,NA,NA,NA,NA,NA,NA,226,31650223,NA,NA,NA,NA,NA,37621,0.4,NA,NA,12,1,NA,NA,NA,NA,NA
"University of Alabama in Huntsville","UAH  University of Alabama Huntsville","Huntsville","AL","www.uah.edu/",1,3,4,12,0,0,0,0,0,0,0,0,0,NA,0.7425,1321,1300,25,31,28,1200,1440,6650,31650223,NA,NA,NA,NA,NA,61767,0.41,0,0.851349789482374,17,1,11122,11122,56719,11770,24662
"Alabama State University",NA,"Montgomery","AL","www.alasu.edu/",1,3,4,12,1,0,0,0,0,0,0,0,0,NA,0.9564,977,950,16,20,18,860,1070,3322,31650223,NA,NA,NA,NA,NA,34502,0.1346,370,0.836065053046185,16,1,7690,7320,28989,11248,19576
"The University of Alabama",NA,"Tuscaloosa","AL","www.ua.edu/",1,3,4,12,0,0,0,0,0,0,0,0,0,NA,0.7582,1287,1220,24,31,26,1170,1400,32323,31650223,NA,NA,NA,NA,NA,59221,0.5623,276,0.800351038933409,19,1,14840,14564,52710,11900,33200
"Athens State University",NA,"Athens","AL","https://www.athens.edu/",1,3,4,31,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2407,31650223,NA,NA,NA,NA,NA,50273,NA,NA,0.865542763157895,14,1,NA,NA,49332,NA,NA
"Auburn University at Montgomery","AUM||Auburn University at Montgomery|Auburn Montgomery","Montgomery","AL","www.aum.edu/",1,3,4,12,0,1,0,0,0,0,0,0,0,NA,0.9263,1090,1060,18,24,21,1000,1220,2693,31650223,NA,NA,NA,NA,NA,44391,0.136,-5394,0.810366275051831,15,1,7368,12762,41128,9436,20092
"Auburn University",NA,"Auburn","AL","www.auburn.edu/",1,3,4,13,0,0,0,0,0,0,0,0,0,NA,0.5047,1318,NA,25,31,NA,1240,1380,25732,31650223,NA,NA,NA,NA,NA,65337,0.5661,660,0.906413369012387,21,1,15396,14736,54392,12536,33944
"Faulkner University","Faulkner","Montgomery","AL","www.faulkner.edu/",2,3,4,12,0,1,0,0,0,0,0,0,0,74,0.6613,1016,1100,17,23,20,880,1130,1555,31650223,21012,16987,27967,31335,31706,43457,0.2048,0,0.725474346019984,13,1,8020,8020,45645,23920,23920
